Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,price_category
1,MacBook Pro,4,-1.2044068787278503,IPS Panel Retina Display 2560x1600,65,-0.07519506268436271,128GB SSD,58,8,-1.0052832259279667,2
1,Macbook Air,4,-1.2044068787278503,1440x900,63,-0.07519506268436271,128GB Flash Storage,51,8,-1.050381143323216,1
7,250 G6,3,0.4087716575222072,Full HD 1920x1080,74,-0.07519506268436271,256GB SSD,53,4,-0.2686839084722321,0
1,MacBook Pro,4,0.2684952630656809,IPS Panel Retina Display 2880x1800,85,1.4987674542268743,512GB SSD,9,8,-0.3137818258674812,2
1,MacBook Pro,4,-1.2044068787278503,IPS Panel Retina Display 2560x1600,67,-0.07519506268436271,256GB SSD,59,8,-1.0052832259279667,2
0,Aspire 3,3,0.4087716575222072,1366x768,14,-0.8621763211399812,500GB HDD,17,5,0.09209943068976037,0
1,MacBook Pro,4,0.2684952630656809,IPS Panel Retina Display 2880x1800,84,1.4987674542268743,256GB Flash Storage,60,3,0.0019035958992621705,2
1,Macbook Air,4,-1.2044068787278503,1440x900,63,-0.07519506268436271,256GB Flash Storage,51,8,-1.050381143323216,1
2,ZenBook UX430UN,4,-0.713439498130007,Full HD 1920x1080,106,1.4987674542268743,512GB SSD,98,5,-1.1105116998502147,2
0,Swift 3,4,-0.713439498130007,IPS Panel Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,61,5,-0.659532525897724,1
7,250 G6,3,0.4087716575222072,1366x768,74,-0.8621763211399812,500GB HDD,53,4,-0.2686839084722321,0
7,250 G6,3,0.4087716575222072,Full HD 1920x1080,56,-0.8621763211399812,500GB HDD,47,4,-0.2686839084722321,0
1,MacBook Pro,4,0.2684952630656809,IPS Panel Retina Display 2880x1800,86,1.4987674542268743,256GB SSD,10,8,-0.3137818258674812,2
4,Inspiron 3567,3,0.4087716575222072,Full HD 1920x1080,56,-0.8621763211399812,256GB SSD,24,5,0.24242582200725737,0
1,"MacBook 12""",4,-2.116203442695275,IPS Panel Retina Display 2304x1440,51,-0.07519506268436271,256GB SSD,52,8,-1.681751986856703,1
1,MacBook Pro,4,-1.2044068787278503,IPS Panel Retina Display 2560x1600,65,-0.07519506268436271,256GB SSD,58,8,-1.0052832259279667,2
4,Inspiron 3567,3,0.4087716575222072,Full HD 1920x1080,97,-0.07519506268436271,256GB SSD,24,5,0.24242582200725737,1
1,MacBook Pro,4,0.2684952630656809,IPS Panel Retina Display 2880x1800,87,1.4987674542268743,512GB SSD,11,8,-0.3137818258674812,2
10,IdeaPad 320-15IKB,3,0.4087716575222072,Full HD 1920x1080,59,-0.07519506268436271,1TB HDD,72,4,0.24242582200725737,0
4,XPS 13,4,-1.2044068787278503,IPS Panel Full HD / Touchscreen 1920x1080,83,-0.07519506268436271,128GB SSD,61,5,-1.2307728129042124,1
